"timestamp","host","gpu_name","matrix_size","mode","batches","seconds_target","seconds_gpu","seconds_wall","energy_j","avg_power_w","below_target","workload","impl","dtype","N","passes_kernel","passes_e2e","seconds_kernel","energy_kernel_j","avg_power_w_kernel","avg_power_w_e2e","bytes_total","bw_gb_s","time_mode","energy_mode","includes_transfer","device_name","driver_version","pcie_gen_current","pcie_width_current","pcie_rx_kbs","pcie_tx_kbs","clocks_sm_mhz","clocks_mem_mhz","temp_c","throttle_reasons","notes","energy_batch_j","kWh_batch","seconds_batch","M","K","flops_batch","joule_per_gflop","gflops","flops_per_watt","kWh_e2e","market_area","de_price_eur_kwh_run","de_eur_job","de_price_sync","de_eur_job_sync","fr_price_eur_kwh_run","fr_eur_job","fr_price_sync","fr_eur_job_sync","pl_price_eur_kwh_run","pl_eur_job","pl_price_sync","pl_eur_job_sync","price_eur_kwh_run","eur_job","price_sync","eur_job_sync","de_price_eur_kwh_batch","de_eur_batch","de_eur_batch_sync","de_eur_job_from_batches","fr_price_eur_kwh_batch","fr_eur_batch","fr_eur_batch_sync","fr_eur_job_from_batches","pl_price_eur_kwh_batch","pl_eur_batch","pl_eur_batch_sync","pl_eur_job_from_batches","price_eur_kwh_batch","eur_batch","eur_batch_sync","eur_job_from_batches","de_ci_g_per_kwh","de_co2_job_kg","fr_ci_g_per_kwh","fr_co2_job_kg","pl_ci_g_per_kwh","pl_co2_job_kg","de_co2_batch_kg","de_co2_job_from_batches_kg","fr_co2_batch_kg","fr_co2_job_from_batches_kg","pl_co2_batch_kg","pl_co2_job_from_batches_kg"
"2024-09-12 23:05:58+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","0","kernel","11306","1.0","1.0399","1,0399","58,177","55.9","0","reduction","openblas","fp32","0","11306","232","1.0399","58.177","55.9","55.4","90448000000","86.98","kernel","kernel","0","AMD Ryzen Threadripper 3970X 32-Core Processor","","","","0","0","","","39.5","0","OPENBLAS_NUM_THREADS=4; e2e_host_memcpy=1; e2e_bw=mixed","0.0051456748629046525","1,4293541285846258e-09","9.197771094993808e-05","0","0","","","","","1,6160277777777777e-05","DE","0,09204","1,4873919666666666e-06","0,0783099722222222","1,2655109038811729e-06","0,09326","1,5071075055555555e-06","0,0950131388888888","1,5354387169830245e-06","0,09326","1,5071075055555555e-06","0,0950131388888888","1,5354387169830245e-06","0,09204","1,4873919666666666e-06","0,0783099722222222","1,2655109038811729e-06","0,09204","1,3155775399492896e-10","1,1193268210518071e-10","1,4873919666666668e-06","0,09326","1,3330156603180218e-10","1,3580742234061774e-10","1,5071075055555555e-06","0,09326","1,3330156603180218e-10","1,3580742234061774e-10","1,5071075055555555e-06","0,09204","1,3155775399492896e-10","1,1193268210518071e-10","1,4873919666666668e-06","486,55","7,862783152777778e-06","22,98","3,713631833333333e-07","884,81","1,4298775380555553e-05","6,954522512628496e-10","7,862783152777778e-06","3,28465578748747e-11","3,7136318333333337e-07","1,2647068265129627e-09","1,4298775380555556e-05"
"2024-09-12 23:05:58+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","0","e2e","232","1.0","1.0399","0,0516","2,863","55.4","0","reduction","openblas","fp32","0","11306","232","1.0399","58.177","55.9","55.4","928000000","17.97","e2e","e2e","0","AMD Ryzen Threadripper 3970X 32-Core Processor","","","","0","0","","","39.5","0","OPENBLAS_NUM_THREADS=4; e2e_host_memcpy=1; e2e_bw=mixed","0.012340517241379311","3,4279214559386964e-09","0.00022241379310344829","0","0","0.0","","0.0","0.0","7,952777777777777e-07","DE","0,09204","7,319736666666667e-08","0,0783099722222222","6,22781806867284e-08","0,09326","7,416760555555556e-08","0,0950131388888888","7,55618379552469e-08","0,09326","7,416760555555556e-08","0,0950131388888888","7,55618379552469e-08","0,09204","7,319736666666667e-08","0,0783099722222222","6,22781806867284e-08","0,09204","3,155058908045977e-10","2,68440433994519e-10","7,319736666666667e-08","0,09326","3,1968795498084286e-10","3,2569757739330563e-10","7,416760555555557e-08","0,09326","3,1968795498084286e-10","3,2569757739330563e-10","7,416760555555557e-08","0,09204","3,155058908045977e-10","2,68440433994519e-10","7,319736666666667e-08","486,55","3,8694240277777776e-07","22,98","1,827548333333333e-08","884,81","7,036697305555555e-07","1,6678551843869727e-09","3,8694240277777765e-07","7,877363505747124e-11","1,8275483333333327e-08","3,033059183429118e-09","7,036697305555554e-07"
"2024-09-12 23:06:04+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","0","kernel","5487","1.0","0.9641","0,9641","53,819","55.8","1","reduction","openblas","fp32","0","5487","600","0.9641","53.819","55.8","54.9","65844000000","68.29","kernel","kernel","0","AMD Ryzen Threadripper 3970X 32-Core Processor","","","","0","0","","","38.5","0","OPENBLAS_NUM_THREADS=4; e2e_host_memcpy=1; e2e_bw=mixed","0.00980845635137598","2,7245712087155503e-09","0.00017570621468926553","0","0","","","","","1,4949722222222225e-05","DE","0,09204","1,3759724333333334e-06","0,0783099722222222","1,1707123319521608e-06","0,09326","1,3942110944444445e-06","0,0950131388888888","1,4204200338503086e-06","0,09326","1,3942110944444445e-06","0,0950131388888888","1,4204200338503086e-06","0,09204","1,3759724333333334e-06","0,0783099722222222","1,1707123319521608e-06","0,09204","2,5076953405017926e-10","2,1336109567198118e-10","1,3759724333333336e-06","0,09326","2,540935109248122e-10","2,5887006266635835e-10","1,3942110944444445e-06","0,09326","2,540935109248122e-10","2,5887006266635835e-10","1,3942110944444445e-06","0,09204","2,5076953405017926e-10","2,1336109567198118e-10","1,3759724333333336e-06","486,55","7,273787347222224e-06","22,98","3,4354461666666674e-07","884,81","1,3227663719444446e-05","1,325640121600551e-09","7,273787347222223e-06","6,261064637628335e-11","3,4354461666666674e-07","2,410727851183606e-09","1,3227663719444445e-05"
"2024-09-12 23:06:04+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","0","e2e","600","1.0","0.9641","0,3635","19,967","54.9","1","reduction","openblas","fp32","0","5487","600","0.9641","53.819","55.8","54.9","3600000000","9.9","e2e","e2e","0","AMD Ryzen Threadripper 3970X 32-Core Processor","","","","0","0","","","38.5","0","OPENBLAS_NUM_THREADS=4; e2e_host_memcpy=1; e2e_bw=mixed","0.03327833333333333","9,243981481481481e-09","0.0006058333333333333","0","0","0.0","","0.0","0.0","5,5463888888888885e-06","DE","0,09204","5,104896333333333e-07","0,0783099722222222","4,343375598225309e-07","0,09326","5,172562277777778e-07","0,0950131388888888","5,2697981783179e-07","0,09326","5,172562277777778e-07","0,0950131388888888","5,2697981783179e-07","0,09204","5,104896333333333e-07","0,0783099722222222","4,343375598225309e-07","0,09204","8,508160555555554e-10","7,238959330375514e-10","5,104896333333332e-07","0,09326","8,620937129629628e-10","8,782996963863165e-10","5,172562277777777e-07","0,09326","8,620937129629628e-10","8,782996963863165e-10","5,172562277777777e-07","0,09204","8,508160555555554e-10","7,238959330375514e-10","5,104896333333332e-07","486,55","2,6985955138888887e-06","22,98","1,2745601666666666e-07","884,81","4,907500352777777e-06","4,497659189814815e-09","2,698595513888889e-06","2,1242669444444443e-10","1,2745601666666666e-07","8,17916725462963e-09","4,907500352777778e-06"
"2024-09-12 23:06:08+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","0","kernel","355","1.0","0.1294","0,1294","7,221","55.8","1","reduction","openblas","fp32","0","355","470","0.1294","7.221","55.8","55.7","5680000000","43.9","kernel","kernel","0","AMD Ryzen Threadripper 3970X 32-Core Processor","","","","0","0","","","37.2","0","OPENBLAS_NUM_THREADS=4; e2e_host_memcpy=1; e2e_bw=mixed","0.020340845070422536","5,650234741784037e-09","0.0003645070422535211","0","0","","","","","2,0058333333333333e-06","DE","0,09204","1,846169e-07","0,0783099722222222","1,5707675261574078e-07","0,09326","1,870640166666667e-07","0,0950131388888888","1,9058052108796293e-07","0,09326","1,870640166666667e-07","0,0950131388888888","1,9058052108796293e-07","0,09204","1,846169e-07","0,0783099722222222","1,5707675261574078e-07","0,09204","5,200476056338028e-10","4,424697256781429e-10","1,846169e-07","0,09326","5,269408920187792e-10","5,36846538275952e-10","1,870640166666667e-07","0,09326","5,269408920187792e-10","5,36846538275952e-10","1,870640166666667e-07","0,09204","5,200476056338028e-10","4,424697256781429e-10","1,846169e-07","486,55","9,759382083333332e-07","22,98","4,609405e-08","884,81","1,7747813916666665e-06","2,7491217136150234e-09","9,759382083333332e-07","1,2984239436619719e-10","4,609405e-08","4,999384201877934e-09","1,7747813916666665e-06"
"2024-09-12 23:06:08+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","0","e2e","470","1.0","0.1294","0,5363","29,863","55.7","1","reduction","openblas","fp32","0","355","470","0.1294","7.221","55.8","55.7","3760000000","7.01","e2e","e2e","0","AMD Ryzen Threadripper 3970X 32-Core Processor","","","","0","0","","","37.2","0","OPENBLAS_NUM_THREADS=4; e2e_host_memcpy=1; e2e_bw=mixed","0.06353829787234043","1,7649527186761233e-08","0.001141063829787234","0","0","0.0","","0.0","0.0","8,295277777777777e-06","DE","0,09204","7,634973666666665e-07","0,0783099722222222","6,496029723533951e-07","0,09326","7,736176055555555e-07","0,0950131388888888","7,881603796219134e-07","0,09326","7,736176055555555e-07","0,0950131388888888","7,881603796219134e-07","0,09204","7,634973666666665e-07","0,0783099722222222","6,496029723533951e-07","0,09204","1,6244624822695039e-09","1,382133983730628e-09","7,634973666666669e-07","0,09326","1,6459949054373524e-09","1,6769369779189651e-09","7,736176055555557e-07","0,09326","1,6459949054373524e-09","1,6769369779189651e-09","7,736176055555557e-07","0,09204","1,6244624822695039e-09","1,382133983730628e-09","7,634973666666669e-07","486,55","4,036067402777777e-06","22,98","1,9062548333333333e-07","884,81","7,339744730555555e-06","8,58737745271868e-09","4,036067402777779e-06","4,0558613475177317e-10","1,9062548333333339e-07","1,5616478150118206e-08","7,339744730555557e-06"
"2024-09-12 23:06:16+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","0","kernel","998","1.0","0.989","0,989","55,391","56.0","1","reduction","openblas","fp32","0","998","267","0.989","55.391","56.0","56.2","23952000000","24.22","kernel","kernel","0","AMD Ryzen Threadripper 3970X 32-Core Processor","","","","0","0","","","36.8","0","OPENBLAS_NUM_THREADS=4; e2e_host_memcpy=1; e2e_bw=mixed","0.05550200400801603","1,541722333556001e-08","0.0009909819639278557","0","0","","","","","1,538638888888889e-05","DE","0,09204","1,4161632333333331e-06","0,0783099722222222","1,2049076864891978e-06","0,09326","1,4349346277777778e-06","0,0950131388888888","1,4619091044984568e-06","0,09326","1,4349346277777778e-06","0,0950131388888888","1,4619091044984568e-06","0,09204","1,4161632333333331e-06","0,0783099722222222","1,2049076864891978e-06","0,09204","1,419001235804943e-09","1,2073223311515007e-09","1,4161632333333331e-06","0,09326","1,4378102482743262e-09","1,4648387820625821e-09","1,4349346277777778e-06","0,09326","1,4378102482743262e-09","1,4648387820625821e-09","1,4349346277777778e-06","0,09204","1,419001235804943e-09","1,2073223311515007e-09","1,4161632333333331e-06","486,55","7,486247513888889e-06","22,98","3,535792166666667e-07","884,81","1,3614030752777778e-05","7,501250013916722e-09","7,4862475138888885e-06","3,5428779225116904e-10","3,535792166666667e-07","1,364131337953685e-08","1,3614030752777776e-05"
"2024-09-12 23:06:16+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","0","e2e","267","1.0","0.989","0,5866","32,961","56.2","1","reduction","openblas","fp32","0","998","267","0.989","55.391","56.0","56.2","3204000000","5.46","e2e","e2e","0","AMD Ryzen Threadripper 3970X 32-Core Processor","","","","0","0","","","36.8","0","OPENBLAS_NUM_THREADS=4; e2e_host_memcpy=1; e2e_bw=mixed","0.12344943820224719","3,429151061173533e-08","0.002197003745318352","0","0","0.0","","0.0","0.0","9,155833333333331e-06","DE","0,09204","8,427028999999999e-07","0,0783099722222222","7,169930540046296e-07","0,09326","8,538730166666666e-07","0,0950131388888888","8,699244641435183e-07","0,09326","8,538730166666666e-07","0,0950131388888888","8,699244641435183e-07","0,09204","8,427028999999999e-07","0,0783099722222222","7,169930540046296e-07","0,09204","3,156190636704119e-09","2,685367243463032e-09","8,427028999999999e-07","0,09326","3,1980262796504363e-09","3,2581440604626156e-09","8,538730166666666e-07","0,09326","3,1980262796504363e-09","3,2581440604626156e-09","8,538730166666666e-07","0,09204","3,156190636704119e-09","2,685367243463032e-09","8,427028999999999e-07","486,55","4,454770708333332e-06","22,98","2,1040104999999998e-07","884,81","8,101172891666664e-06","1,6684534488139824e-08","4,454770708333333e-06","7,880189138576779e-10","2,1040105e-07","3,0341471504369535e-08","8,101172891666665e-06"
"2024-09-12 23:06:24+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","0","kernel","690","1.0","1.1157","1,1157","62,552","56.1","0","reduction","openblas","fp32","0","690","225","1.1157","62.552","56.1","57.1","22080000000","19.79","kernel","kernel","0","AMD Ryzen Threadripper 3970X 32-Core Processor","","","","0","0","","","36.8","0","OPENBLAS_NUM_THREADS=4; e2e_host_memcpy=1; e2e_bw=mixed","0.09065507246376811","2,5181964573268926e-08","0.0016169565217391303","0","0","","","","","1,7375555555555554e-05","DE","0,09204","1,5992461333333331e-06","0,0783099722222222","1,3606792729012347e-06","0,09326","1,620444311111111e-06","0,0950131388888888","1,6509060732716046e-06","0,09326","1,620444311111111e-06","0,0950131388888888","1,6509060732716046e-06","0,09204","1,5992461333333331e-06","0,0783099722222222","1,3606792729012347e-06","0,09204","2,3177480193236715e-09","1,9719989462336733e-09","1,5992461333333331e-06","0,09326","2,3484700161030594e-09","2,3926174974950795e-09","1,620444311111111e-06","0,09326","2,3484700161030594e-09","2,3926174974950795e-09","1,620444311111111e-06","0,09204","2,3177480193236715e-09","1,9719989462336733e-09","1,5992461333333331e-06","486,55","8,454076555555556e-06","22,98","3,992902666666667e-07","884,81","1,537406531111111e-05","1,2252284863123996e-08","8,454076555555558e-06","5,786815458937199e-10","3,9929026666666674e-07","2,2281254074074078e-08","1,5374065311111112e-05"
"2024-09-12 23:06:24+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","0","e2e","225","1.0","1.1157","0,6127","34,96","57.1","0","reduction","openblas","fp32","0","690","225","1.1157","62.552","56.1","57.1","3600000000","5.88","e2e","e2e","0","AMD Ryzen Threadripper 3970X 32-Core Processor","","","","0","0","","","36.8","0","OPENBLAS_NUM_THREADS=4; e2e_host_memcpy=1; e2e_bw=mixed","0.15537777777777778","4,3160493827160495e-08","0.002723111111111111","0","0","0.0","","0.0","0.0","9,711111111111111e-06","DE","0,09204","8,938106666666667e-07","0,0783099722222222","7,604768413580249e-07","0,09326","9,056582222222222e-07","0,0950131388888888","9,22683148765432e-07","0,09326","9,056582222222222e-07","0,0950131388888888","9,22683148765432e-07","0,09204","8,938106666666667e-07","0,0783099722222222","7,604768413580249e-07","0,09204","3,972491851851852e-09","3,379897072702332e-09","8,938106666666667e-07","0,09326","4,0251476543209884e-09","4,1008139945130315e-09","9,056582222222222e-07","0,09326","4,0251476543209884e-09","4,1008139945130315e-09","9,056582222222222e-07","0,09204","3,972491851851852e-09","3,379897072702332e-09","8,938106666666667e-07","486,55","4,724941111111111e-06","22,98","2,2316133333333334e-07","884,81","8,592488222222223e-06","2,0999738271604938e-08","4,724941111111111e-06","9,918281481481483e-10","2,2316133333333336e-07","3,818883654320987e-08","8,592488222222221e-06"
"2024-09-12 23:06:32+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","0","kernel","424","1.0","1.0217","1,0217","57,353","56.1","0","reduction","openblas","fp32","0","424","130","1.0217","57.353","56.1","57.0","20352000000","19.92","kernel","kernel","0","AMD Ryzen Threadripper 3970X 32-Core Processor","","","","0","0","","","36.8","0","OPENBLAS_NUM_THREADS=4; e2e_host_memcpy=1; e2e_bw=mixed","0.13526650943396226","3,757403039832285e-08","0.0024096698113207546","0","0","","","","","1,593138888888889e-05","DE","0,09204","1,4663250333333332e-06","0,0783099722222222","1,2475866213503089e-06","0,09326","1,4857613277777777e-06","0,0950131388888888","1,5136912651929011e-06","0,09326","1,4857613277777777e-06","0,0950131388888888","1,5136912651929011e-06","0,09204","1,4663250333333332e-06","0,0783099722222222","1,2475866213503089e-06","0,09204","3,4583137578616356e-09","2,942421276769596e-09","1,4663250333333334e-06","0,09326","3,5041540749475884e-09","3,570026568851182e-09","1,485761327777778e-06","0,09326","3,5041540749475884e-09","3,570026568851182e-09","1,485761327777778e-06","0,09204","3,4583137578616356e-09","2,942421276769596e-09","1,4663250333333334e-06","486,55","7,75141726388889e-06","22,98","3,661033166666667e-07","884,81","1,4096252202777778e-05","1,8281644490303983e-08","7,751417263888888e-06","8,634512185534591e-10","3,661033166666667e-07","3,324587783674004e-08","1,4096252202777776e-05"
"2024-09-12 23:06:32+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","0","e2e","130","1.0","1.0217","0,5262","29,971","57.0","0","reduction","openblas","fp32","0","424","130","1.0217","57.353","56.1","57.0","3120000000","5.93","e2e","e2e","0","AMD Ryzen Threadripper 3970X 32-Core Processor","","","","0","0","","","36.8","0","OPENBLAS_NUM_THREADS=4; e2e_host_memcpy=1; e2e_bw=mixed","0.23054615384615385","6,40405982905983e-08","0.004047692307692308","0","0","0.0","","0.0","0.0","8,325277777777779e-06","DE","0,09204","7,662585666666667e-07","0,0783099722222222","6,519522715200619e-07","0,09326","7,764154055555556e-07","0,0950131388888888","7,910107737885802e-07","0,09326","7,764154055555556e-07","0,0950131388888888","7,910107737885802e-07","0,09204","7,662585666666667e-07","0,0783099722222222","6,519522715200619e-07","0,09204","5,894296666666667e-09","5,015017473231245e-09","7,662585666666667e-07","0,09326","5,972426196581197e-09","6,084698259912156e-09","7,764154055555556e-07","0,09326","5,972426196581197e-09","6,084698259912156e-09","7,764154055555556e-07","0,09204","5,894296666666667e-09","5,015017473231245e-09","7,662585666666667e-07","486,55","4,0506639027777784e-06","22,98","1,9131488333333337e-07","884,81","7,3662890305555565e-06","3,11589530982906e-08","4,050663902777778e-06","1,471652948717949e-09","1,9131488333333337e-07","5,666376177350428e-08","7,366289030555556e-06"
"2024-09-12 23:06:40+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","0","kernel","332","1.0","1.0539","1,0539","59,176","56.2","0","reduction","openblas","fp32","0","332","111","1.0539","59.176","56.2","57.0","21248000000","20.16","kernel","kernel","0","AMD Ryzen Threadripper 3970X 32-Core Processor","","","","0","0","","","36.8","0","OPENBLAS_NUM_THREADS=4; e2e_host_memcpy=1; e2e_bw=mixed","0.17824096385542168","4,9511378848728244e-08","0.003174397590361446","0","0","","","","","1,643777777777778e-05","DE","0,09204","1,5129330666666669e-06","0,0783099722222222","1,28724192117284e-06","0,09326","1,5329871555555556e-06","0,0950131388888888","1,5618048630246912e-06","0,09326","1,5329871555555556e-06","0,0950131388888888","1,5618048630246912e-06","0,09204","1,5129330666666669e-06","0,0783099722222222","1,28724192117284e-06","0,09204","4,557027309236947e-09","3,8772347023278295e-09","1,5129330666666662e-06","0,09326","4,617431191432395e-09","4,7042315151346115e-09","1,5329871555555552e-06","0,09326","4,617431191432395e-09","4,7042315151346115e-09","1,5329871555555552e-06","0,09204","4,557027309236947e-09","3,8772347023278295e-09","1,5129330666666662e-06","486,55","7,997800777777778e-06","22,98","3,7774013333333335e-07","884,81","1,4544310155555556e-05","2,4089761378848726e-08","7,997800777777777e-06","1,137771485943775e-09","3,777401333333333e-07","4,380816311914324e-08","1,4544310155555554e-05"
"2024-09-12 23:06:40+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","0","e2e","111","1.0","1.0539","0,5951","33,894","57.0","0","reduction","openblas","fp32","0","332","111","1.0539","59.176","56.2","57.0","3552000000","5.97","e2e","e2e","0","AMD Ryzen Threadripper 3970X 32-Core Processor","","","","0","0","","","36.8","0","OPENBLAS_NUM_THREADS=4; e2e_host_memcpy=1; e2e_bw=mixed","0.30535135135135133","8,481981981981982e-08","0.005361261261261261","0","0","0.0","","0.0","0.0","9,415e-06","DE","0,09204","8,665565999999999e-07","0,0783099722222222","7,372883884722222e-07","0,09326","8,780428999999999e-07","0,0950131388888888","8,945487026388886e-07","0,09326","8,780428999999999e-07","0,0950131388888888","8,945487026388886e-07","0,09204","8,665565999999999e-07","0,0783099722222222","7,372883884722222e-07","0,09204","7,806816216216217e-09","6,642237733983985e-09","8,665566000000001e-07","0,09326","7,910296396396397e-09","8,05899732107107e-09","8,780429000000001e-07","0,09326","7,910296396396397e-09","8,05899732107107e-09","8,780429000000001e-07","0,09204","7,806816216216217e-09","6,642237733983985e-09","8,665566000000001e-07","486,55","4,58086825e-06","22,98","2,163567e-07","884,81","8,33048615e-06","4,126908333333334e-08","4,58086825e-06","1,9491594594594594e-09","2,1635669999999998e-07","7,504942477477477e-08","8,330486149999998e-06"
"2024-09-12 23:06:48+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","0","kernel","225","1.0","1.0637","1,0637","59,74","56.2","0","reduction","openblas","fp32","0","225","66","1.0637","59.74","56.2","56.8","21600000000","20.31","kernel","kernel","0","AMD Ryzen Threadripper 3970X 32-Core Processor","","","","0","0","","","36.8","0","OPENBLAS_NUM_THREADS=4; e2e_host_memcpy=1; e2e_bw=mixed","0.26551111111111114","7,37530864197531e-08","0.004727555555555556","0","0","","","","","1,6594444444444444e-05","DE","0,09204","1,5273526666666666e-06","0,0783099722222222","1,2995104834876545e-06","0,09326","1,5475978888888888e-06","0,0950131388888888","1,5766902547839505e-06","0,09326","1,5475978888888888e-06","0,0950131388888888","1,5766902547839505e-06","0,09204","1,5273526666666666e-06","0,0783099722222222","1,2995104834876545e-06","0,09204","6,788234074074075e-09","5,775602148834021e-09","1,527352666666667e-06","0,09326","6,878212839506174e-09","7,007512243484225e-09","1,547597888888889e-06","0,09326","6,878212839506174e-09","7,007512243484225e-09","1,547597888888889e-06","0,09204","6,788234074074075e-09","5,775602148834021e-09","1,527352666666667e-06","486,55","8,074026944444444e-06","22,98","3,8134033333333334e-07","884,81","1,4682930388888886e-05","3,588456419753087e-08","8,074026944444445e-06","1,6948459259259263e-09","3,813403333333334e-07","6,525746839506174e-08","1,4682930388888893e-05"
"2024-09-12 23:06:48+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","0","e2e","66","1.0","1.0637","0,5334","30,317","56.8","0","reduction","openblas","fp32","0","225","66","1.0637","59.74","56.2","56.8","3168000000","5.94","e2e","e2e","0","AMD Ryzen Threadripper 3970X 32-Core Processor","","","","0","0","","","36.8","0","OPENBLAS_NUM_THREADS=4; e2e_host_memcpy=1; e2e_bw=mixed","0.45934848484848484","1,2759680134680138e-07","0.008081818181818181","0","0","0.0","","0.0","0.0","8,421388888888888e-06","DE","0,09204","7,751046333333333e-07","0,0783099722222222","6,594787299614198e-07","0,09326","7,853787277777777e-07","0,0950131388888888","8,001425921373455e-07","0,09326","7,853787277777777e-07","0,0950131388888888","8,001425921373455e-07","0,09204","7,751046333333333e-07","0,0783099722222222","6,594787299614198e-07","0,09204","1,17440095959596e-08","9,992101969112425e-09","7,751046333333335e-07","0,09326","1,1899677693602696e-08","1,2123372608141605e-08","7,85378727777778e-07","0,09326","1,1899677693602696e-08","1,2123372608141605e-08","7,85378727777778e-07","0,09204","1,17440095959596e-08","9,992101969112425e-09","7,751046333333335e-07","486,55","4,097426763888888e-06","22,98","1,9352351666666665e-07","884,81","7,451329102777776e-06","6,208222369528622e-08","4,0974267638888905e-06","2,9321744949494957e-09","1,9352351666666673e-07","1,1289892579966332e-07","7,4513291027777796e-06"
"2024-09-12 23:06:57+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","0","kernel","167","1.0","1.0779","1,0779","60,601","56.2","0","reduction","openblas","fp32","0","167","56","1.0779","60.601","56.2","57.0","21376000000","19.83","kernel","kernel","0","AMD Ryzen Threadripper 3970X 32-Core Processor","","","","0","0","","","36.9","0","OPENBLAS_NUM_THREADS=4; e2e_host_memcpy=1; e2e_bw=mixed","0.3628802395209581","1,0080006653359949e-07","0.006454491017964073","0","0","","","","","1,683361111111111e-05","DE","0,09204","1,5493655666666666e-06","0,0783099722222222","1,3182396185108024e-06","0,09326","1,569902572222222e-06","0,0950131388888888","1,5994142305015429e-06","0,09326","1,569902572222222e-06","0,0950131388888888","1,5994142305015429e-06","0,09204","1,5493655666666666e-06","0,0783099722222222","1,3182396185108024e-06","0,09204","9,277638123752495e-09","7,893650410244328e-09","1,549365566666667e-06","0,09326","9,400614204923489e-09","9,577330721566129e-09","1,5699025722222225e-06","0,09326","9,400614204923489e-09","9,577330721566129e-09","1,5699025722222225e-06","0,09204","9,277638123752495e-09","7,893650410244328e-09","1,549365566666667e-06","486,55","8,19039348611111e-06","22,98","3,8683638333333335e-07","884,81","1,489454744722222e-05","4,9044272371922836e-08","8,190393486111114e-06","2,316385528942116e-09","3,868363833333334e-07","8,918890686959415e-08","1,4894547447222223e-05"
"2024-09-12 23:06:57+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","0","e2e","56","1.0","1.0779","0,6061","34,542","57.0","0","reduction","openblas","fp32","0","167","56","1.0779","60.601","56.2","57.0","3584000000","5.91","e2e","e2e","0","AMD Ryzen Threadripper 3970X 32-Core Processor","","","","0","0","","","36.9","0","OPENBLAS_NUM_THREADS=4; e2e_host_memcpy=1; e2e_bw=mixed","0.6168214285714286","1,7133928571428573e-07","0.010823214285714285","0","0","0.0","","0.0","0.0","9,595e-06","DE","0,09204","8,831238e-07","0,0783099722222222","7,513841834722224e-07","0,09326","8,948297e-07","0,0950131388888888","9,116510676388888e-07","0,09326","8,948297e-07","0,0950131388888888","9,116510676388888e-07","0,09204","8,831238e-07","0,0783099722222222","7,513841834722224e-07","0,09204","1,5770067857142858e-08","1,3417574704861114e-08","8,831238e-07","0,09326","1,5979101785714286e-08","1,6279483350694445e-08","8,948297e-07","0,09326","1,5979101785714286e-08","1,6279483350694445e-08","8,948297e-07","0,09204","1,5770067857142858e-08","1,3417574704861114e-08","8,831238e-07","486,55","4,66844725e-06","22,98","2,2049310000000003e-07","884,81","8,489751949999999e-06","8,336512946428573e-08","4,668447250000001e-06","3,9373767857142865e-09","2,2049310000000006e-07","1,5160271339285717e-07","8,48975195e-06"
