problem_size,metric,lower_is_better,exact_configuration,exact_num_threads,leader_configurations,leader_count,selection_status,gap_to_second_pct,ci_separated_from_all,selected_runtime_per_op_s_median,selected_runtime_per_op_s_ci95_low,selected_runtime_per_op_s_ci95_high,selected_runtime_per_op_s_session_cv_pct,selected_primary_energy_per_op_j_median,selected_primary_energy_per_op_j_ci95_low,selected_primary_energy_per_op_j_ci95_high,selected_primary_energy_per_op_j_session_cv_pct,selected_total_energy_per_op_j_median,selected_total_energy_per_op_j_ci95_low,selected_total_energy_per_op_j_ci95_high,selected_total_energy_per_op_j_session_cv_pct,selected_primary_power_w_median,selected_primary_power_w_ci95_low,selected_primary_power_w_ci95_high,selected_primary_power_w_session_cv_pct,selected_edp_primary_j_s_median,selected_edp_primary_j_s_ci95_low,selected_edp_primary_j_s_ci95_high,selected_edp_primary_j_s_session_cv_pct,selected_throughput_gflops_exact_median,selected_throughput_gflops_exact_ci95_low,selected_throughput_gflops_exact_ci95_high,selected_throughput_gflops_exact_session_cv_pct,selected_primary_efficiency_gflop_per_j_median,selected_primary_efficiency_gflop_per_j_ci95_low,selected_primary_efficiency_gflop_per_j_ci95_high,selected_primary_efficiency_gflop_per_j_session_cv_pct,selected_logical_bandwidth_gb_s_median,selected_logical_bandwidth_gb_s_ci95_low,selected_logical_bandwidth_gb_s_ci95_high,selected_logical_bandwidth_gb_s_session_cv_pct,selected_logical_gb_per_j_median,selected_logical_gb_per_j_ci95_low,selected_logical_gb_per_j_ci95_high,selected_logical_gb_per_j_session_cv_pct,selected_temp_c_median,selected_temp_c_ci95_low,selected_temp_c_ci95_high,selected_temp_c_session_cv_pct,selected_clock_before_mhz_median,selected_clock_before_mhz_ci95_low,selected_clock_before_mhz_ci95_high,selected_clock_before_mhz_session_cv_pct,policy,platform
2000000,primary_energy_per_op_j,True,20T,20,"8T,10T,16T,20T",4,tie_or_uncertain,8.186044766869971,False,2.721409771343971e-05,2.508923127967982e-05,3.3444122178917794e-05,11.339564505136503,0.0038754635983361922,0.003419059888434979,0.004586389588809329,11.472988801453953,0.0038754635983361922,0.0034190640150965307,0.004586391446871507,11.472975952395368,137.19861124127954,135.19597547953268,142.40714546661872,2.2116242313099432,1.054794266967422e-07,8.579187084284086e-08,1.534743131026059e-07,23.5165063197024,73.50012240303462,59.80206757777336,79.72513799283189,10.370004381424142,0.5161242958746268,0.43607663567335603,0.5850249515826165,10.887458143104228,294.0007836127751,239.20850951948336,318.9008708720389,10.370004381424135,2.0644992479967232,1.7443082870008388,2.340102146431442,10.887458143104228,91.0,88.0,96.0,4.139007122752124,3600.0,3599.0,3603.5,0.049490416845921176,energy_opt,INTEL
4000000,primary_energy_per_op_j,True,16T,16,"8T,10T,16T,20T",4,tie_or_uncertain,5.5768385307128465,False,0.000116160852937768,0.00011471504515834,0.00011733497421472106,1.0124430276493857,0.0153404463244541,0.015030824196927374,0.015925624648382562,2.287713752504582,0.015341809763347434,0.015031264082867783,0.015926501582278478,2.286753570869017,133.7663748463258,128.50855032154686,136.31235557766496,2.397793846773941,1.7723782298005642e-06,1.7564186332533687e-06,1.8690669734983054e-06,2.610800625521893,34.43500167674071,34.09042694387061,34.8690008290326,1.0131539660311206,0.2607485587598132,0.25116747966979935,0.2661197859578256,2.276495785734013,137.74007557698343,136.36177595635337,139.4760730541495,1.0131539660311228,1.0429947565365008,1.004670421014282,1.0644796760710074,2.276495785734022,88.0,81.0,89.5,4.087322434604321,3376.0,3343.5,3385.0,0.4791782747887052,energy_opt,INTEL
8000000,primary_energy_per_op_j,True,4T,4,"4T,16T",2,tie_or_uncertain,11.44550138836573,False,0.0005387305825242718,0.0005368710455764075,0.0005424970238095238,0.4446668692573516,0.046807403866809885,0.04522742972972973,0.04802199436997319,2.5490683007079187,0.0473999626745435,0.04582408027027027,0.04860652788203754,2.505862997793458,86.87843407128013,83.6740592462328,89.44298525694751,2.8625967510263024,2.5228358767188415e-05,2.451040022322644e-05,2.578857827771277e-05,2.146887097476023,14.849723376015337,14.746622905266513,14.901155634954367,0.44444297167185204,0.1709131213216438,0.16659038226633877,0.17688388465999633,2.5610399494691185,59.39890835378658,58.98650636769081,59.60463744097497,0.4444429716718463,0.6836526561997179,0.6663616956557581,0.707535715523892,2.561039949469123,87.0,81.0,91.0,4.81123929311548,1915.0,1779.0,1924.0,3.3944012887819506,energy_opt,INTEL
16000000,primary_energy_per_op_j,True,4T,4,4T,1,clear_leader,18.326926654924037,True,0.0013606474184782607,0.0013424564926372154,0.0013675532060027284,0.7489724450705567,0.11513149665327979,0.09657113586956521,0.11633916302864938,7.469772629544585,0.11664951472556895,0.098055890625,0.11786271350613915,7.38479065701399,84.47551486110957,70.85577213558801,85.79198969743271,7.600495508326263,0.00015450032272762716,0.00013131679353268805,0.00015919547273663336,7.517948953410296,11.759107444388718,11.699728398585856,11.918454710132327,0.7514029104681613,0.13897152404332447,0.13752892063103359,0.16568107291053819,8.122033810697328,47.03643565710897,46.79891944420799,47.67382479975703,0.7514029104681573,0.5558861656590642,0.550115751288599,0.6627243744826943,8.122033810697317,86.0,57.0,89.0,16.45291176652496,1899.5,1779.0,1922.5,3.0347573014181917,energy_opt,INTEL
32000000,primary_energy_per_op_j,True,4T,4,"2T,4T",2,tie_or_uncertain,12.315414205470066,False,0.003008567771084337,0.002989965671641791,0.0030117364457831327,0.2923516467627489,0.2542132575301205,0.2375231686567164,0.25717152409638555,3.787523249828669,0.2575388418674699,0.2408201313432836,0.2604916927710843,3.738361938649974,84.32594036242953,79.43318747833995,85.49197806867011,3.6065920174661086,0.0007657119939233425,0.0007100285687389931,0.0007739690364625581,3.9751719280178177,10.636293952899331,10.62509936599956,10.702463891850076,0.29330476633658914,0.12587871766071648,0.12443058766855199,0.13472375183032098,3.841419781988619,42.5451784706709,42.50040012027317,42.809858243016365,0.2933047663365893,0.5035149021125465,0.4977223817818558,0.5388950410022229,3.841419781988608,88.0,79.0,90.0,6.317497752820224,1922.5,1899.5,1924.0,0.6405926560987181,energy_opt,INTEL
64000000,primary_energy_per_op_j,True,4T,4,"2T,4T",2,tie_or_uncertain,14.774635436218798,False,0.006264493749999999,0.0062528062499999995,0.006272287499999999,0.12702942144254323,0.514445896875,0.5008005656250001,0.5282039468749999,2.115310202693812,0.52143565625,0.5081277375,0.535286653125,2.066523851391794,82.11587562347637,80.11298088630241,83.9660422679874,1.9462323953861587,0.003221999305474609,0.0031309776594730275,0.0033195252713847656,2.268103661983768,10.216308335494846,10.203614126833173,10.235404154675903,0.12709390595625897,0.12440573643538566,0.12116533069117497,0.12779539390178568,2.1303599881734896,40.86523461901795,40.81445778278449,40.94161789812915,0.12709390595625503,0.49762296129226,0.4846613379103665,0.5111815915815672,2.130359988173489,85.0,81.0,88.0,3.1493915176053378,1923.5,1881.5,1924.0,1.0039292216077798,energy_opt,INTEL
128000000,primary_energy_per_op_j,True,4T,4,"2T,4T",2,tie_or_uncertain,10.162667804929203,False,0.012820333333333333,0.012794589743589744,0.012825532051282052,0.09920730046263478,1.0599021153846155,0.8998710897435898,1.079317829113924,7.293407987142829,1.0739424102564104,0.9139172692307692,1.0934248101265822,7.196083870309976,82.70628021313388,70.10515295311774,84.27666445782188,7.380481475993794,0.013590658985112756,0.011540312823677268,0.013849765577275117,7.2793038050477685,9.984139703560174,9.98009420538408,10.004233650312917,0.09933235719300007,0.12076586935635246,0.11859342597383851,0.1422426038303688,8.029792151546001,39.93655943824943,39.92037744529222,40.01693522651628,0.09933235719300311,0.4830634849732767,0.47437371130744316,0.568970424211638,8.029792151546005,85.0,60.0,88.0,14.484812776869745,1899.0,1893.5,1907.5,0.27825870339877523,energy_opt,INTEL
256000000,primary_energy_per_op_j,True,4T,4,4T,1,clear_leader,11.30477593583905,True,0.025800512820512822,0.025733987179487182,0.02585828205128205,0.18357069088595318,2.1260063205128206,1.8076657692307692,2.1530463974358973,7.014095797303035,2.154565333333333,1.8361067051282052,2.181475756410256,6.913042795255149,82.21370964343225,69.91043251962043,83.36731225054237,7.072330592647852,0.055003479435274165,0.04665949582003123,0.05558328548018935,7.047548676134512,9.922286598633583,9.900118928279763,9.947933732271597,0.183717740857143,0.12041356643735276,0.11890133869148269,0.14161910007773137,7.720993860466935,39.68914670460579,39.60047602249777,39.79173523995932,0.18371774085714332,0.48165426951233503,0.4756053584815976,0.5664764047365223,7.720993860466925,85.0,60.0,87.0,14.145389327572847,1821.5,1779.0,1940.0,3.9520472030885436,energy_opt,INTEL
1000000,edp_primary_j_s,True,20T,20,"8T,10T,16T,20T",4,tie_or_uncertain,39.816904717951914,False,1.1766524408740494e-05,1.152046731098576e-05,1.7312274956763344e-05,21.835707315174023,0.0015453026383549502,0.0013021631342023821,0.0022389367965183864,23.81907321750025,0.0015453029138073509,0.0013021631342023821,0.0022389367965183864,23.819070467164664,129.3283028785228,111.73768518799079,133.82983206684366,6.815698956301559,1.813952434013111e-08,1.517533185382136e-08,3.876850478257023e-08,45.268008168776184,84.98680947556502,57.77426149160864,86.80338210570198,20.221269564099178,0.6471226903147994,0.44671992936118776,0.7679608150554519,23.144314517131214,339.94791779741576,231.0975081609887,347.2142228505592,20.221269564099167,2.588495938245897,1.7868832912077597,3.071849403914472,23.144314517131225,91.0,61.0,94.0,16.187438662270893,3599.5,3599.0,3600.0,0.013890818169190166,edp_opt,INTEL
2000000,edp_primary_j_s,True,20T,20,"8T,10T,16T,20T",4,tie_or_uncertain,3.7435274974454646,False,2.721409771343971e-05,2.508923127967982e-05,3.3444122178917794e-05,11.339564505136503,0.0038754635983361922,0.003419059888434979,0.004586389588809329,11.472988801453953,0.0038754635983361922,0.0034190640150965307,0.004586391446871507,11.472975952395368,137.19861124127954,135.19597547953268,142.40714546661872,2.2116242313099432,1.054794266967422e-07,8.579187084284086e-08,1.534743131026059e-07,23.5165063197024,73.50012240303462,59.80206757777336,79.72513799283189,10.370004381424142,0.5161242958746268,0.43607663567335603,0.5850249515826165,10.887458143104228,294.0007836127751,239.20850951948336,318.9008708720389,10.370004381424135,2.0644992479967232,1.7443082870008388,2.340102146431442,10.887458143104228,91.0,88.0,96.0,4.139007122752124,3600.0,3599.0,3603.5,0.049490416845921176,edp_opt,INTEL
4000000,edp_primary_j_s,True,16T,16,"8T,10T,16T,20T",4,tie_or_uncertain,6.058735763059686,False,0.000116160852937768,0.00011471504515834,0.00011733497421472106,1.0124430276493857,0.0153404463244541,0.015030824196927374,0.015925624648382562,2.287713752504582,0.015341809763347434,0.015031264082867783,0.015926501582278478,2.286753570869017,133.7663748463258,128.50855032154686,136.31235557766496,2.397793846773941,1.7723782298005642e-06,1.7564186332533687e-06,1.8690669734983054e-06,2.610800625521893,34.43500167674071,34.09042694387061,34.8690008290326,1.0131539660311206,0.2607485587598132,0.25116747966979935,0.2661197859578256,2.276495785734013,137.74007557698343,136.36177595635337,139.4760730541495,1.0131539660311228,1.0429947565365008,1.004670421014282,1.0644796760710074,2.276495785734022,88.0,81.0,89.5,4.087322434604321,3376.0,3343.5,3385.0,0.4791782747887052,edp_opt,INTEL
8000000,edp_primary_j_s,True,16T,16,"10T,16T",2,tie_or_uncertain,12.462177744499447,False,0.0004301337907375643,0.0004282632139812447,0.0004321208530805688,0.3194435019796898,0.052164745926243566,0.047065234777015436,0.054419523166023165,5.354913410649862,0.05280620883361921,0.047722531089193825,0.05507530308880308,5.290002160134354,121.38087668474046,109.36467844089807,126.46050029857406,5.452561587524954,2.243274963472983e-05,2.0269735248404994e-05,2.3417727916178725e-05,5.251153776577241,18.598869324101223,18.513337110107628,18.68009845463083,0.31936551947138975,0.1533602606114089,0.14700604935581235,0.16997683654654433,5.544807952341054,74.39549589527655,74.05336695376994,74.72041249862411,0.31936551947139047,0.6134411958059155,0.5880243444293173,0.6799075161630352,5.5448079523410545,85.0,72.0,87.0,7.656218590091021,3353.5,3216.0,3422.0,2.2617030527753803,edp_opt,INTEL
16000000,edp_primary_j_s,True,4T,4,4T,1,clear_leader,26.59375640527033,True,0.0013606474184782607,0.0013424564926372154,0.0013675532060027284,0.7489724450705567,0.11513149665327979,0.09657113586956521,0.11633916302864938,7.469772629544585,0.11664951472556895,0.098055890625,0.11786271350613915,7.38479065701399,84.47551486110957,70.85577213558801,85.79198969743271,7.600495508326263,0.00015450032272762716,0.00013131679353268805,0.00015919547273663336,7.517948953410296,11.759107444388718,11.699728398585856,11.918454710132327,0.7514029104681613,0.13897152404332447,0.13752892063103359,0.16568107291053819,8.122033810697328,47.03643565710897,46.79891944420799,47.67382479975703,0.7514029104681573,0.5558861656590642,0.550115751288599,0.6627243744826943,8.122033810697317,86.0,57.0,89.0,16.45291176652496,1899.5,1779.0,1922.5,3.0347573014181917,edp_opt,INTEL
32000000,edp_primary_j_s,True,4T,4,4T,1,clear_leader,26.029181528769897,True,0.003008567771084337,0.002989965671641791,0.0030117364457831327,0.2923516467627489,0.2542132575301205,0.2375231686567164,0.25717152409638555,3.787523249828669,0.2575388418674699,0.2408201313432836,0.2604916927710843,3.738361938649974,84.32594036242953,79.43318747833995,85.49197806867011,3.6065920174661086,0.0007657119939233425,0.0007100285687389931,0.0007739690364625581,3.9751719280178177,10.636293952899331,10.62509936599956,10.702463891850076,0.29330476633658914,0.12587871766071648,0.12443058766855199,0.13472375183032098,3.841419781988619,42.5451784706709,42.50040012027317,42.809858243016365,0.2933047663365893,0.5035149021125465,0.4977223817818558,0.5388950410022229,3.841419781988608,88.0,79.0,90.0,6.317497752820224,1922.5,1899.5,1924.0,0.6405926560987181,edp_opt,INTEL
64000000,edp_primary_j_s,True,4T,4,4T,1,clear_leader,34.62056014996169,True,0.006264493749999999,0.0062528062499999995,0.006272287499999999,0.12702942144254323,0.514445896875,0.5008005656250001,0.5282039468749999,2.115310202693812,0.52143565625,0.5081277375,0.535286653125,2.066523851391794,82.11587562347637,80.11298088630241,83.9660422679874,1.9462323953861587,0.003221999305474609,0.0031309776594730275,0.0033195252713847656,2.268103661983768,10.216308335494846,10.203614126833173,10.235404154675903,0.12709390595625897,0.12440573643538566,0.12116533069117497,0.12779539390178568,2.1303599881734896,40.86523461901795,40.81445778278449,40.94161789812915,0.12709390595625503,0.49762296129226,0.4846613379103665,0.5111815915815672,2.130359988173489,85.0,81.0,88.0,3.1493915176053378,1923.5,1881.5,1924.0,1.0039292216077798,edp_opt,INTEL
128000000,edp_primary_j_s,True,4T,4,4T,1,clear_leader,35.72072712985794,True,0.012820333333333333,0.012794589743589744,0.012825532051282052,0.09920730046263478,1.0599021153846155,0.8998710897435898,1.079317829113924,7.293407987142829,1.0739424102564104,0.9139172692307692,1.0934248101265822,7.196083870309976,82.70628021313388,70.10515295311774,84.27666445782188,7.380481475993794,0.013590658985112756,0.011540312823677268,0.013849765577275117,7.2793038050477685,9.984139703560174,9.98009420538408,10.004233650312917,0.09933235719300007,0.12076586935635246,0.11859342597383851,0.1422426038303688,8.029792151546001,39.93655943824943,39.92037744529222,40.01693522651628,0.09933235719300311,0.4830634849732767,0.47437371130744316,0.568970424211638,8.029792151546005,85.0,60.0,88.0,14.484812776869745,1899.0,1893.5,1907.5,0.27825870339877523,edp_opt,INTEL
256000000,edp_primary_j_s,True,4T,4,4T,1,clear_leader,38.6267329917314,True,0.025800512820512822,0.025733987179487182,0.02585828205128205,0.18357069088595318,2.1260063205128206,1.8076657692307692,2.1530463974358973,7.014095797303035,2.154565333333333,1.8361067051282052,2.181475756410256,6.913042795255149,82.21370964343225,69.91043251962043,83.36731225054237,7.072330592647852,0.055003479435274165,0.04665949582003123,0.05558328548018935,7.047548676134512,9.922286598633583,9.900118928279763,9.947933732271597,0.183717740857143,0.12041356643735276,0.11890133869148269,0.14161910007773137,7.720993860466935,39.68914670460579,39.60047602249777,39.79173523995932,0.18371774085714332,0.48165426951233503,0.4756053584815976,0.5664764047365223,7.720993860466925,85.0,60.0,87.0,14.145389327572847,1821.5,1779.0,1940.0,3.9520472030885436,edp_opt,INTEL
1000000,logical_bandwidth_gb_s,False,20T,20,"8T,10T,16T,20T",4,tie_or_uncertain,19.0087426757114,False,1.1766524408740494e-05,1.152046731098576e-05,1.7312274956763344e-05,21.835707315174023,0.0015453026383549502,0.0013021631342023821,0.0022389367965183864,23.81907321750025,0.0015453029138073509,0.0013021631342023821,0.0022389367965183864,23.819070467164664,129.3283028785228,111.73768518799079,133.82983206684366,6.815698956301559,1.813952434013111e-08,1.517533185382136e-08,3.876850478257023e-08,45.268008168776184,84.98680947556502,57.77426149160864,86.80338210570198,20.221269564099178,0.6471226903147994,0.44671992936118776,0.7679608150554519,23.144314517131214,339.94791779741576,231.0975081609887,347.2142228505592,20.221269564099167,2.588495938245897,1.7868832912077597,3.071849403914472,23.144314517131225,91.0,61.0,94.0,16.187438662270893,3599.5,3599.0,3600.0,0.013890818169190166,bandwidth_opt,INTEL
